product_name,product_price,product_url
"日照 花蓮糙米活味噌, 220g, 4罐",$336,https://www.tw.coupang.com/products/%E6%97%A5%E7%85%A7-%E8%8A%B1%E8%93%AE%E7%B3%99%E7%B1%B3%E6%B4%BB%E5%91%B3%E5%99%8C-162414972600320?itemId=202945748500529&vendorItemId=202945748500499&sourceType=search&rank=&searchId=975b4e3b6c644c7484be8e328db6fc53&q=%E9%B9%BD%E9%BA%B4%E6%96%99%E7%90%86
"菇王 鹽麴辣椒醬, 150g, 5罐",$725,https://www.tw.coupang.com/products/%E8%8F%87%E7%8E%8B-%E9%B9%BD%E9%BA%B4%E8%BE%A3%E6%A4%92%E9%86%AC-148929966489610?itemId=417226293182469&vendorItemId=417226293231616&sourceType=search&rank=1&searchId=975b4e3b6c644c7484be8e328db6fc53&q=%E9%B9%BD%E9%BA%B4%E6%96%99%E7%90%86
"菇王 鹽麴辣椒醬, 150g, 3罐",$430,https://www.tw.coupang.com/products/%E8%8F%87%E7%8E%8B-%E9%B9%BD%E9%BA%B4%E8%BE%A3%E6%A4%92%E9%86%AC-148929966489610?itemId=417226293215235&vendorItemId=417226293215233&sourceType=search&rank=2&searchId=975b4e3b6c644c7484be8e328db6fc53&q=%E9%B9%BD%E9%BA%B4%E6%96%99%E7%90%86
"菇王 鹽麴辣椒醬, 150g, 6罐",$930,https://www.tw.coupang.com/products/%E8%8F%87%E7%8E%8B-%E9%B9%BD%E9%BA%B4%E8%BE%A3%E6%A4%92%E9%86%AC-148929966489610?itemId=417226297376779&vendorItemId=417226297376771&sourceType=search&rank=3&searchId=975b4e3b6c644c7484be8e328db6fc53&q=%E9%B9%BD%E9%BA%B4%E6%96%99%E7%90%86
"菇王 鹽麴辣椒醬, 150g, 4罐",$574,https://www.tw.coupang.com/products/%E8%8F%87%E7%8E%8B-%E9%B9%BD%E9%BA%B4%E8%BE%A3%E6%A4%92%E9%86%AC-148929966489610?itemId=417226293182467&vendorItemId=417226293198848&sourceType=search&rank=4&searchId=975b4e3b6c644c7484be8e328db6fc53&q=%E9%B9%BD%E9%BA%B4%E6%96%99%E7%90%86
"ICHIBIKI 甘口壽喜燒用調味料, 500ml, 6瓶",$697,https://www.tw.coupang.com/products/ICHIBIKI-%E7%94%98%E5%8F%A3%E5%A3%BD%E5%96%9C%E7%87%92%E7%94%A8%E8%AA%BF%E5%91%B3%E6%96%99-167100769337353?itemId=412865978646532&vendorItemId=412865978630144&sourceType=search&rank=5&searchId=975b4e3b6c644c7484be8e328db6fc53&q=%E9%B9%BD%E9%BA%B4%E6%96%99%E7%90%86
"HUNTER'S DREAM 獵人谷之夢 天然糙米鹽麴醬油, 400ml, 5瓶","$1,095",https://www.tw.coupang.com/products/HUNTER'S-DREAM-%E7%8D%B5%E4%BA%BA%E8%B0%B7%E4%B9%8B%E5%A4%A2-%E5%A4%A9%E7%84%B6%E7%B3%99%E7%B1%B3%E9%B9%BD%E9%BA%B4%E9%86%AC%E6%B2%B9-171054592917504?itemId=413547460804618&vendorItemId=413547460755464&sourceType=search&rank=6&searchId=975b4e3b6c644c7484be8e328db6fc53&q=%E9%B9%BD%E9%BA%B4%E6%96%99%E7%90%86
"HUNTER'S DREAM 獵人谷之夢 天然糙米鹽麴醬油, 400ml, 2瓶",$390,https://www.tw.coupang.com/products/HUNTER'S-DREAM-%E7%8D%B5%E4%BA%BA%E8%B0%B7%E4%B9%8B%E5%A4%A2-%E5%A4%A9%E7%84%B6%E7%B3%99%E7%B1%B3%E9%B9%BD%E9%BA%B4%E9%86%AC%E6%B2%B9-171054592917504?itemId=413547464966145&vendorItemId=413547460755468&sourceType=search&rank=7&searchId=975b4e3b6c644c7484be8e328db6fc53&q=%E9%B9%BD%E9%BA%B4%E6%96%99%E7%90%86
"ICHIBIKI 甘口壽喜燒用調味料, 500ml, 5瓶",$581,https://www.tw.coupang.com/products/ICHIBIKI-%E7%94%98%E5%8F%A3%E5%A3%BD%E5%96%9C%E7%87%92%E7%94%A8%E8%AA%BF%E5%91%B3%E6%96%99-167100769337353?itemId=412865978679302&vendorItemId=412865978646531&sourceType=search&rank=8&searchId=975b4e3b6c644c7484be8e328db6fc53&q=%E9%B9%BD%E9%BA%B4%E6%96%99%E7%90%86
"ICHIBIKI 甘口壽喜燒用調味料, 500ml, 4瓶",$464,https://www.tw.coupang.com/products/ICHIBIKI-%E7%94%98%E5%8F%A3%E5%A3%BD%E5%96%9C%E7%87%92%E7%94%A8%E8%AA%BF%E5%91%B3%E6%96%99-167100769337353?itemId=412865978662919&vendorItemId=412865978646534&sourceType=search&rank=9&searchId=975b4e3b6c644c7484be8e328db6fc53&q=%E9%B9%BD%E9%BA%B4%E6%96%99%E7%90%86
"HUNTER'S DREAM 獵人谷之夢 天然糙米鹽麴醬油, 400ml, 4瓶",$816,https://www.tw.coupang.com/products/HUNTER'S-DREAM-%E7%8D%B5%E4%BA%BA%E8%B0%B7%E4%B9%8B%E5%A4%A2-%E5%A4%A9%E7%84%B6%E7%B3%99%E7%B1%B3%E9%B9%BD%E9%BA%B4%E9%86%AC%E6%B2%B9-171054592917504?itemId=413547464966144&vendorItemId=413547460804617&sourceType=search&rank=10&searchId=975b4e3b6c644c7484be8e328db6fc53&q=%E9%B9%BD%E9%BA%B4%E6%96%99%E7%90%86
"ICHIBIKI 甘口壽喜燒用調味料, 500ml, 3瓶",$348,https://www.tw.coupang.com/products/ICHIBIKI-%E7%94%98%E5%8F%A3%E5%A3%BD%E5%96%9C%E7%87%92%E7%94%A8%E8%AA%BF%E5%91%B3%E6%96%99-167100769337353?itemId=412865978630153&vendorItemId=412865978630149&sourceType=search&rank=11&searchId=975b4e3b6c644c7484be8e328db6fc53&q=%E9%B9%BD%E9%BA%B4%E6%96%99%E7%90%86
"HUNTER'S DREAM 獵人谷之夢 天然糙米鹽麴醬油, 400ml, 3瓶",$585,https://www.tw.coupang.com/products/HUNTER'S-DREAM-%E7%8D%B5%E4%BA%BA%E8%B0%B7%E4%B9%8B%E5%A4%A2-%E5%A4%A9%E7%84%B6%E7%B3%99%E7%B1%B3%E9%B9%BD%E9%BA%B4%E9%86%AC%E6%B2%B9-171054592917504?itemId=413547460755469&vendorItemId=413547460788230&sourceType=search&rank=12&searchId=975b4e3b6c644c7484be8e328db6fc53&q=%E9%B9%BD%E9%BA%B4%E6%96%99%E7%90%86
"ICHIBIKI 甘口壽喜燒用調味料, 500ml, 1瓶",$116,https://www.tw.coupang.com/products/ICHIBIKI-%E7%94%98%E5%8F%A3%E5%A3%BD%E5%96%9C%E7%87%92%E7%94%A8%E8%AA%BF%E5%91%B3%E6%96%99-167100769337353?itemId=167100769337354&vendorItemId=167100769337346&sourceType=search&rank=13&searchId=975b4e3b6c644c7484be8e328db6fc53&q=%E9%B9%BD%E9%BA%B4%E6%96%99%E7%90%86
"ICHIBIKI 甘口壽喜燒用調味料, 500ml, 2瓶",$232,https://www.tw.coupang.com/products/ICHIBIKI-%E7%94%98%E5%8F%A3%E5%A3%BD%E5%96%9C%E7%87%92%E7%94%A8%E8%AA%BF%E5%91%B3%E6%96%99-167100769337353?itemId=412865978646535&vendorItemId=412865978630148&sourceType=search&rank=14&searchId=975b4e3b6c644c7484be8e328db6fc53&q=%E9%B9%BD%E9%BA%B4%E6%96%99%E7%90%86
"Kohsei Foods 鹽麴達人 乳酸菌淺漬之素 微辣鹽風味 3入, 60g, 6袋",$604,https://www.tw.coupang.com/products/Kohsei-Foods-%E9%B9%BD%E9%BA%B4%E9%81%94%E4%BA%BA-%E4%B9%B3%E9%85%B8%E8%8F%8C%E6%B7%BA%E6%BC%AC%E4%B9%8B%E7%B4%A0-%E5%BE%AE%E8%BE%A3%E9%B9%BD%E9%A2%A8%E5%91%B3-3%E5%85%A5-159538657312768?itemId=392192891748354&vendorItemId=392192891781120&sourceType=search&rank=15&searchId=975b4e3b6c644c7484be8e328db6fc53&q=%E9%B9%BD%E9%BA%B4%E6%96%99%E7%90%86
"Kohsei Foods 鹽麴達人 乳酸菌淺漬之素 微辣鹽風味 3入, 60g, 2袋",$201,https://www.tw.coupang.com/products/Kohsei-Foods-%E9%B9%BD%E9%BA%B4%E9%81%94%E4%BA%BA-%E4%B9%B3%E9%85%B8%E8%8F%8C%E6%B7%BA%E6%BC%AC%E4%B9%8B%E7%B4%A0-%E5%BE%AE%E8%BE%A3%E9%B9%BD%E9%A2%A8%E5%91%B3-3%E5%85%A5-159538657312768?itemId=306627278225409&vendorItemId=306629526388739&sourceType=search&rank=16&searchId=975b4e3b6c644c7484be8e328db6fc53&q=%E9%B9%BD%E9%BA%B4%E6%96%99%E7%90%86
"Kohsei Foods 鹽麴達人 乳酸菌淺漬之素 微辣鹽風味 3入, 60g, 5袋",$504,https://www.tw.coupang.com/products/Kohsei-Foods-%E9%B9%BD%E9%BA%B4%E9%81%94%E4%BA%BA-%E4%B9%B3%E9%85%B8%E8%8F%8C%E6%B7%BA%E6%BC%AC%E4%B9%8B%E7%B4%A0-%E5%BE%AE%E8%BE%A3%E9%B9%BD%E9%A2%A8%E5%91%B3-3%E5%85%A5-159538657312768?itemId=392192891781123&vendorItemId=392192891797504&sourceType=search&rank=17&searchId=975b4e3b6c644c7484be8e328db6fc53&q=%E9%B9%BD%E9%BA%B4%E6%96%99%E7%90%86
"Kohsei Foods 鹽麴達人 乳酸菌淺漬之素 微辣鹽風味 3入, 60g, 3袋",$302,https://www.tw.coupang.com/products/Kohsei-Foods-%E9%B9%BD%E9%BA%B4%E9%81%94%E4%BA%BA-%E4%B9%B3%E9%85%B8%E8%8F%8C%E6%B7%BA%E6%BC%AC%E4%B9%8B%E7%B4%A0-%E5%BE%AE%E8%BE%A3%E9%B9%BD%E9%A2%A8%E5%91%B3-3%E5%85%A5-159538657312768?itemId=392192891781121&vendorItemId=392192891764736&sourceType=search&rank=18&searchId=975b4e3b6c644c7484be8e328db6fc53&q=%E9%B9%BD%E9%BA%B4%E6%96%99%E7%90%86
"Kohsei Foods 鹽麴達人 乳酸菌淺漬之素 微辣鹽風味 3入, 60g, 1袋",$100,https://www.tw.coupang.com/products/Kohsei-Foods-%E9%B9%BD%E9%BA%B4%E9%81%94%E4%BA%BA-%E4%B9%B3%E9%85%B8%E8%8F%8C%E6%B7%BA%E6%BC%AC%E4%B9%8B%E7%B4%A0-%E5%BE%AE%E8%BE%A3%E9%B9%BD%E9%A2%A8%E5%91%B3-3%E5%85%A5-159538657312768?itemId=159538657312769&vendorItemId=159539085164544&sourceType=search&rank=19&searchId=975b4e3b6c644c7484be8e328db6fc53&q=%E9%B9%BD%E9%BA%B4%E6%96%99%E7%90%86
"Kohsei Foods 鹽麴達人 乳酸菌淺漬之素 微辣鹽風味 3入, 60g, 4袋",$403,https://www.tw.coupang.com/products/Kohsei-Foods-%E9%B9%BD%E9%BA%B4%E9%81%94%E4%BA%BA-%E4%B9%B3%E9%85%B8%E8%8F%8C%E6%B7%BA%E6%BC%AC%E4%B9%8B%E7%B4%A0-%E5%BE%AE%E8%BE%A3%E9%B9%BD%E9%A2%A8%E5%91%B3-3%E5%85%A5-159538657312768?itemId=392192891764741&vendorItemId=392192891748352&sourceType=search&rank=20&searchId=975b4e3b6c644c7484be8e328db6fc53&q=%E9%B9%BD%E9%BA%B4%E6%96%99%E7%90%86
